"ID"	"product"	"gene"	"SRR15309076"	"SRR15309078"	"SRR15309074"	"SRR15309066"	"SRR15309082"	"SRR15309080"	"SRR15309070"	"SRR15309065"	"SRR15309072"	"SRR15309068"	"SRR15309063"	"SRR15309061"
"b0001"	"thr operon leader peptide"	"thrL"	113	432	119	107	301	188	111	234	255	122	67	93
"b0002"	"fused aspartate kinase/homoserine dehydrogenase 1"	"thrA"	2910	27851	3646	2378	40528	28617	1749	4243	4728	1464	827	883
"b0003"	"homoserine kinase"	"thrB"	1274	6956	1497	1476	10845	7994	882	1892	1777	747	882	1219
"b0004"	"threonine synthase"	"thrC"	1814	10638	2256	2462	16566	12936	1609	3871	2438	1294	1734	1824
"b0005"	"DUF2502 domain-containing protein YaaX"	"yaaX"	124	216	171	124	396	354	83	191	195	86	106	126
"b0006"	"peroxide stress resistance protein YaaA"	"yaaA"	405	443	530	741	501	416	580	1209	575	487	519	533
"b0007"	"putative transporter YaaJ"	"yaaJ"	229	277	322	176	273	160	147	258	341	120	595	692
"b0008"	"transaldolase B"	"talB"	10498	19215	12569	23040	23889	17766	18591	38203	15770	16778	23718	17920
"b0009"	"molybdopterin adenylyltransferase"	"mog"	470	627	608	667	889	676	446	1204	793	458	536	474
"b0010"	"acetate/succinate:H(+) symporter"	"satP"	171	230	249	130	208	175	89	250	234	91	152	139
"b0011"	"putative enzyme-specific chaperone YaaW"	"yaaW"	5	5	7	2	6	5	2	9	4	3	3	5
"b0012"	"uncharacterized protein MbiA"	"mbiA"	0	0	0	0	0	0	0	0	0	0	0	0
"b0013"	"DUF2541 domain-containing protein YaaI"	"yaaI"	20	26	23	18	30	15	18	33	23	14	11	16
"b0014"	"chaperone protein DnaK"	"dnaK"	33189	44163	43699	152355	18136	16032	109282	159455	51984	74791	28351	37846
"b0015"	"chaperone protein DnaJ"	"dnaJ"	2207	3482	3103	8361	1952	1583	5910	10056	4022	4841	1456	2320
"b0016"	"IS186/IS421 transposase"	"insL1"	168	265	203	487	131	126	321	706	273	273	114	201
"b0018"	"regulatory protein MokC"	"mokC"	10	10	10	6	12	9	15	36	14	11	26	29
"b0019"	"Na(+):H(+) antiporter NhaA"	"nhaA"	737	644	1631	1337	692	545	538	1280	1912	763	382	521
"b0020"	"DNA-binding transcriptional activator NhaR"	"nhaR"	331	340	482	391	380	244	222	556	584	299	186	231
"b0021"	"IS1 protein InsB"	"insB1"	43	48	50	30	52	14	17	89	60	33	22	12
"b0022"	"IS1 protein InsA"	"insA1"	7	8	5	1	14	8	10	21	6	6	5	5
"b0023"	"30S ribosomal subunit protein S20"	"rpsT"	3078	5720	2989	3094	5533	4336	1733	6231	4279	2061	1376	1981
"b0024"	"DUF2575 domain-containing protein YaaY"	"yaaY"	81	197	69	52	128	100	40	163	113	80	39	63
"b0025"	"bifunctional riboflavin kinase/FMN adenylyltransferase"	"ribF"	1542	2421	2014	2449	2801	2012	1706	3594	2490	1587	1855	1453
"b0026"	"isoleucine--tRNA ligase"	"ileS"	8426	13099	9448	14699	19539	14611	9747	21607	11533	9566	7158	7028
"b0027"	"lipoprotein signal peptidase"	"lspA"	805	1272	911	1650	1583	1337	774	1908	1168	967	772	715
"b0028"	"peptidyl-prolyl cis-trans isomerase FkpB"	"fkpB"	882	1763	1027	1999	1865	1216	765	2991	1209	1180	1136	815
"b0029"	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase"	"ispH"	981	1464	1126	1689	2081	1481	985	3034	1417	1383	873	899
"b0030"	"ribonucleoside hydrolase RihC"	"rihC"	415	604	429	4108	583	427	2668	4358	408	2393	5559	2883
"b0031"	"4-hydroxy-tetrahydrodipicolinate reductase"	"dapB"	528	809	661	1125	1123	717	764	1362	894	789	463	604
"b0032"	"carbamoyl phosphate synthetase subunit alpha"	"carA"	53	65	59	234	173	138	135	427	94	158	140	74
"b0033"	"carbamoyl phosphate synthetase subunit beta"	"carB"	176	228	261	532	444	340	315	1438	331	490	502	414
"b0034"	"DNA-binding transcriptional activator CaiF"	"caiF"	15	39	36	64	28	22	34	78	31	33	230	180
"b0035"	"putative transferase CaiE"	"caiE"	8	10	13	9	13	7	11	21	18	14	12	7
"b0036"	"crotonobetainyl-CoA hydratase"	"caiD"	3	9	20	28	18	16	10	23	18	10	10	18
"b0037"	"carnitine--CoA ligase"	"caiC"	36	83	63	64	60	51	41	123	61	53	58	82
"b0038"	"gamma-butyrobetainyl-CoA:carnitine CoA transferase"	"caiB"	28	58	58	74	106	63	67	129	75	55	68	34
"b0039"	"crotonobetainyl-CoA reductase"	"caiA"	65	108	74	130	111	94	79	194	81	76	142	188
"b0040"	"L-carnitine:gamma-butyrobetaine antiporter"	"caiT"	14	16	12	12	15	12	19	22	21	17	16	26
"b0041"	"putative electron transfer flavoprotein FixA"	"fixA"	14	21	20	9	27	11	16	20	18	17	21	9
"b0042"	"putative electron transfer flavoprotein FixB"	"fixB"	12	10	22	20	20	26	12	27	32	16	12	23
"b0043"	"putative oxidoreductase FixC"	"fixC"	20	24	25	31	24	11	14	38	30	17	24	15
"b0044"	"putative ferredoxin FixX"	"fixX"	0	4	1	1	6	1	1	10	7	6	2	5
